Components,Unit,Type,0,0.5,1,4,9 m,14 m,19 m,31 m,51 m,70 m,9 f,14 f,19 f,31 f,51 f,70 f,0 p,19 p,31 p,0 l,19 l,31 l
Selenium,μg,Good,15,20,20,30,40,55,55,55,55,55,40,55,55,55,55,55,60,60,60,70,70,70
Selenium,μg,Max,45,60,90,150,280,400,400,400,400,400,280,400,400,400,400,400,400,400,400,400,400,400
Vanadium,mg,Min,,,,,,,,,,,,,,,,,,,,,,
Vanadium,mg,Max,,,,,,,1.8,1.8,1.8,1.8,,,1.8,1.8,1.8,1.8,,,,,,
Zinc,mg,Min,,2.5,2.5,4,7,8.5,9.4,9.4,9.4,9.4,7,7.3,6.8,6.8,6.8,6.8,10.5,9.5,9.5,10.9,10.4,10.4
Zinc,mg,Good,2 3,,5,,11,11,11,11,11,,9,8,8,8,8,,11,11,,12,12,
Zinc,mg,Max,4,5,7,12,23,34,40,40,40,40,23,34,40,40,40,40,34,40,40,34,40,40
Potassium,mg,Min,400,700,3000,3800,4500,4700,4700,4700,4700,4700,4500,4700,4700,4700,4700,4700,4700,4700,4700,5100,5100,5100
Potassium,mg,Max,,,,,,,,,,,,,,,,,,,,,,
Sodium,mg,Min,120,370,1000,1200,1500,1500,1500,1500,1300,1200,1500,1500,1500,1500,1300,1200,1500,1500,1500,1500,1500,1500
Sodium,mg,Max,,,1500,1900,2200,2300,2300,2300,2300,2300,2200,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
Chloride,mg,Min,180,570,1500,1900,2300,2300,2300,2300,2000,1800,2300,2300,2300,2300,2000,1800,2300,2300,2300,2300,2300,2300
Chloride,mg,Max,,,2300,2900,3400,3600,3600,3600,3600,3600,3400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
Iron,mg,Min,,6.9,3,4.1,5.9,7.7,6,6,6,6,5.7,7.9,8.1,8.1,5,5,23,22,22,7,6.5,6.5
Iron,mg,Good,0.27,11,7,10,8,11,8,8,8,8,8,15,18,18,8,8,27,27,27,10,9,9
Iron,mg,Max,40,40,40,40,40,45,45,45,45,45,40,45,45,45,45,45,45,45,45,45,45,45
Magnesium,mg,Min,,,65,110,200,340,330,350,350,350,200,300,255,265,265,265,335,290,300,300,255,265
Magnesium,mg,Good,30,75,80,130,240,410,400,420,420,420,240,360,310,320,320,320,400,350,360,360,310,320
Magnesium,mg,Max,,,65,110,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Manganese,mg,Min,0.003,0.6,1.2,1.5,1.9,2.2,2.3,2.3,2.3,2.3,1.6,1.6,1.8,1.8,1.8,1.8,2,2,2,2.6,2.6,2.6
Manganese,mg,Max,,,2,3,6,9,11,11,11,11,6,9,11,11,11,11,9,11,11,9,11,11
Molybdenum,μg,Min,,,13,17,26,33,34,34,34,34,26,33,34,34,34,34,40,40,40,35,36,36
Molybdenum,μg,Good,2,3,17,22,34,43,45,45,45,45,34,43,45,45,45,45,50,50,50,50,50,50
Molybdenum,μg,Max,,,300,600,1100,1700,2000,2000,2000,2000,1100,1700,2000,2000,2000,2000,1700,2000,2000,1700,2000,2000
Nickel,mg,Min,,,,,,,,,,,,,,,,,,,,,,
Nickel,mg,Max,,,0.2,0.3,0.6,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1
Phosphorus,mg,Min,,,380,405,1055,1055,580,580,580,580,1055,1055,580,580,580,580,1055,580,580,1055,580,580
Phosphorus,mg,Good,100,275,460,500,1250,1250,700,700,700,700,1250,1250,700,700,700,700,1250,700,700,1250,700,700
Phosphorus,mg,Max,,,3000,3000,4000,4000,4000,4000,4000,3000,4000,4000,4000,4000,4000,3000,3500,3500,3500,4000,4000,4000
