FoodID,MeasureID,ConversionFactorValue
440,385,0.13784
440,415,2.30347
440,439,0.04592
440,1352,0.09214
441,341,0.92139
441,385,0.13784
441,415,2.30347
441,439,0.04592
441,1352,0.09214
442,341,0.92139
442,385,0.13784
442,415,2.30347
442,439,0.04592
442,1352,0.09214
443,341,0.92139
443,385,0.13784
443,415,2.30347
443,439,0.04592
443,1352,0.09214
444,341,0.92139
444,385,0.13784
444,415,2.30347
444,439,0.04592
444,1352,0.09214
445,341,0.86644
445,385,0.12973
445,415,2.1661
445,439,0.04324
445,1352,0.08664
446,341,0.86644
446,385,0.12973
446,415,2.1661
446,439,0.04324
446,1573,0.1
447,341,0.86644
447,385,0.12973
447,415,2.1661
447,439,0.04324
447,1573,0.1
448,341,0.86644
448,385,0.12973
448,415,2.1661
448,439,0.04388
448,1573,0.1
449,341,0.86644
449,385,0.12973
449,415,2.1661
449,439,0.04324
449,1573,0.1
450,341,0.92139
450,385,0.14189
450,415,2.30347
450,439,0.04592
450,1352,0.09214
451,341,0.92139
451,385,0.14189
451,415,2.30347
451,439,0.04592
451,1352,0.09214
452,341,0.92139
452,385,0.14189
452,415,2.30347
452,439,0.04592
452,1352,0.1
453,341,0.92139
453,385,0.14189
453,415,2.30347
453,439,0.04592
453,1352,0.1
454,341,0.86644
454,385,0.12973
454,415,2.1661
454,439,0.04324
454,1573,0.1
455,341,0.86644
455,385,0.12973
455,415,2.1661
455,439,0.04324
455,1573,0.1
456,341,0.92139
456,385,0.13784
456,415,2.30347
456,439,0.04592
456,1352,0.09214
457,341,0.92139
457,385,0.13784
457,415,2.30347
457,439,0.04592
457,1352,0.09214
458,341,0.92139
458,385,0.13784
458,415,2.30347
458,439,0.04592
458,1352,0.09214
459,341,0.92139
459,385,0.13784
459,415,2.30347
459,439,0.04592
459,1352,0.09214
460,341,0.86644
460,385,0.12669
460,415,2.1661
460,439,0.04592
460,1352,0.08664
461,341,0.92139
461,385,0.13784
461,415,2.30347
461,439,0.04592
461,1352,0.09214
462,341,0.92139
462,385,0.13784
462,415,2.30347
462,439,0.04592
462,1352,0.09214
463,341,0.86644
463,385,0.12973
463,415,2.1661
463,439,0.04324
463,1573,0.1
464,341,0.86644
464,385,0.12973
464,415,2.1661
464,439,0.04324
464,1573,0.1
523,341,0.9214
523,385,0.13784
523,415,2.3035
523,439,0.04585
523,1573,0.1
524,341,1.03556
524,385,0.15533
524,415,2.58889
524,428,0.31066
525,341,1.0989
525,385,0.16484
525,415,2.74725
525,428,0.32967
526,341,1.05664
526,385,0.1585
526,415,2.64159
526,428,0.31699
527,341,0.99324
527,385,0.14899
527,415,2.48309
528,341,1.0989
528,385,0.16484
528,415,2.74725
528,428,0.32967
529,341,1.01437
529,385,0.15216
529,415,2.53593
529,428,0.30431
530,341,1.0355
530,385,0.15533
530,415,2.58875
530,428,0.31065
531,341,0.92984
531,385,0.13986
531,415,2.3246
531,428,0.2797
531,801,0.1
532,341,0.99324
532,385,0.14899
532,415,2.48309
532,428,0.29797
533,341,1.05664
533,385,0.1585
533,415,2.64159
533,428,0.31699
534,341,1.0355
534,385,0.15533
534,415,2.58875
534,428,0.31065
535,341,0.95943
535,385,0.14391
535,415,2.39858
535,1352,0.0959
539,341,0.86644
539,385,0.12997
539,415,2.1661
539,439,0.04332
539,1573,0.1
540,341,0.9214
540,385,0.13784
540,415,2.3035
540,439,0.0459
540,1573,0.1
541,341,0.917
541,385,0.13755
541,415,2.2925
541,439,0.04585
541,1573,0.1
542,341,0.917
542,385,0.13755
542,415,2.2925
542,439,0.04585
542,1573,0.1
543,341,0.917
543,385,0.13755
543,415,2.2925
543,439,0.04585
543,1573,0.1
544,341,0.917
544,385,0.13755
544,415,2.2925
544,439,0.04585
544,1573,0.1
545,341,0.917
545,385,0.13755
545,415,2.2925
545,439,0.04585
545,1573,0.1
546,341,0.917
546,385,0.13755
546,415,2.2925
546,439,0.04585
546,1573,0.1
547,341,0.917
547,385,0.13755
547,415,2.2925
547,439,0.04585
547,1573,0.1
548,341,0.917
548,385,0.13755
548,415,2.2925
548,439,0.04585
548,1573,0.1
550,341,0.94083
550,385,0.14112
550,415,2.35208
550,439,0.04704
552,341,0.86644
552,385,0.12997
552,415,2.1661
552,439,0.04332
552,1573,0.1
555,1489,1.25
556,348,0.57058
556,976,1.42646
556,1455,1
557,348,0.57058
557,976,1.42646
557,1455,1
558,348,0.57058
558,976,1.42646
558,1455,1
559,348,0.57058
559,976,1.42646
559,1455,1
560,1489,1.25
561,348,0.57058
561,976,1.42646
561,1455,1
562,348,0.57058
562,976,1.42646
562,1455,1
563,316,2.99
563,348,0.57058
563,976,1.42646
563,1455,1
564,316,3.34
564,1122,0.5706
564,1124,1.4265
564,1455,1
565,316,3.29
565,1489,1.25
566,316,2.58
566,341,0.57058
566,383,0.71323
566,415,1.42645
566,1455,1
567,316,2.43
567,1122,0.57058
567,1124,1.42645
567,1455,1
568,316,2.62
568,1122,0.57058
568,1124,1.42645
568,1455,1
569,316,1.9
569,348,0.57058
569,976,1.42646
569,1461,0.55
570,316,0.56
570,348,0.57058
570,976,1.42646
570,1461,0.55
571,1489,1.25
572,352,0.61285
572,1399,0.76606
572,1400,1.53212
572,1455,1
573,352,0.61285
573,1124,1.53212
573,1455,1
574,128,0.37
574,1489,1.25
575,128,0.22
575,348,0.61285
575,976,1.53212
575,1455,1
576,134,0.061
576,1489,1.25
577,134,0.033
577,348,0.61285
577,1124,1.53212
577,1455,1
578,155,0.32
578,1489,1.25
579,155,0.2
579,348,0.59172
579,976,1.47928
579,1455,1
580,316,1.94
580,1489,1.25
581,316,1.88
581,1122,0.57058
581,1124,1.42645
581,1455,1
582,316,1.3
582,1122,0.57058
582,1124,1.42645
582,1455,1
583,316,1.32
583,1122,0.57058
583,1124,1.42645
583,1455,1
584,316,1.5
584,1122,0.57058
584,1124,1.42645
584,1455,1
585,316,2.66
585,1489,1.25
586,316,2.78
586,1122,0.57058
586,1124,1.42645
586,1455,1
587,316,1.84
587,1122,0.57058
587,1124,1.42645
587,1455,1
588,316,1.67
588,1122,0.57058
588,1124,1.42645
588,1455,1
589,316,1.84
589,1122,0.57058
589,1124,1.42645
589,1455,1
590,316,1.47
590,1122,0.57058
590,1124,1.42645
590,1489,1.25
591,316,1.06
591,1122,0.57058
591,1124,1.42645
591,1455,1
592,316,1.07
592,1122,0.57058
592,1124,1.42645
592,1455,1
593,316,1.19
593,1122,0.57058
593,1124,1.42645
593,1455,1
594,316,1.82
594,1489,1.25
595,316,1.52
595,1122,0.57058
595,1124,1.42645
595,1455,1
596,316,1.36
596,1122,0.57058
596,1124,1.42645
596,1455,1
597,316,1.43
597,1122,0.57058
597,1124,1.42645
597,1455,1
598,315,1.2
598,1122,0.57058
598,1124,1.42645
598,1455,1
599,315,0.72
599,1122,0.57058
599,1124,1.42645
599,1455,1
600,315,0.58
600,1122,0.57058
600,1124,1.42645
600,1455,1
601,477,1.4
601,1122,0.57058
601,1124,1.42645
601,1455,1
602,477,0.98
602,1122,0.57058
602,1124,1.42645
602,1455,1
603,477,0.86
603,1122,0.57058
603,1124,1.42645
603,1455,1
604,86,0.72
604,1122,0.57058
604,1124,1.42645
604,1455,1
605,86,0.49
605,1122,0.57058
605,1124,1.42645
605,1455,1
606,86,0.42
606,1122,0.57058
606,1124,1.42645
606,1455,1
607,150,1.67
607,1489,1.25
608,150,1.58
608,1122,0.57058
608,1124,1.42645
608,1455,1
609,150,1.12
609,1122,0.57058
609,1124,1.42645
609,1455,1
610,150,1.14
610,1122,0.57058
610,1124,1.42645
610,1455,1
611,150,1.25
611,1122,0.5706
611,1124,1.4265
611,1455,1
612,150,1.3
612,1489,1.25
613,150,0.94
613,1122,0.57058
613,1124,1.42645
613,1455,1
614,150,0.95
614,1122,0.57058
614,1124,1.42645
614,1455,1
615,150,1.01
615,1122,0.57058
615,1124,1.42645
615,1455,1
616,172,0.5
616,1489,1.25
617,172,0.52
617,341,0.57058
617,415,1.42645
617,1455,1
618,172,0.36
618,341,0.57058
618,415,1.42645
618,1455,1
619,172,0.38
619,341,0.57058
619,415,1.42645
619,1455,1
620,172,0.2
620,1489,1.25
621,172,0.22
621,341,0.57058
621,415,1.42645
621,1455,1
622,172,0.18
622,341,0.57058
622,415,1.42645
622,1455,1
623,297,0.86
623,1122,0.57058
623,1124,1.42645
623,1455,1
624,297,0.62
624,1122,0.57058
624,1124,1.42645
624,1455,1
625,297,0.52
625,1122,0.57058
625,1124,1.42645
625,1455,1
626,307,0.49
626,1489,1.25
627,307,0.49
627,341,0.57058
627,415,1.42645
627,1455,1
628,307,0.32
628,341,0.57058
628,415,1.42645
628,1455,1
629,307,0.34
629,341,0.57058
629,415,1.42645
629,1455,1
630,307,0.4
630,341,0.57058
630,415,1.42645
630,1455,1
631,307,0.29
631,1489,1.25
632,307,0.2
632,341,0.57058
632,415,1.42645
632,1455,1
633,307,0.21
633,341,0.57058
633,415,1.42645
633,1455,1
634,307,0.24
634,341,0.57058
634,415,1.42645
634,1455,1
635,1489,1.25
636,1122,0.6128
636,1124,1.532
636,1455,1
637,316,6.68
637,1489,1.25
638,316,4.8
638,1122,0.58058
638,1124,1.42645
638,1455,1
639,316,4.77
639,1489,1.25
640,316,3.9
640,1122,0.57058
640,1124,1.42645
640,1455,1
641,1489,1.25
642,348,0.61285
642,1124,1.53212
642,1455,1
643,316,2.2
643,1489,1.25
644,316,1.77
644,1122,0.57058
644,1124,1.42645
644,1455,1
645,1489,1.25
646,1122,0.57058
646,1124,1.42645
646,1455,1
646,1496,0.75
647,316,3.98
647,1489,1.25
647,502468,0.9
648,316,2.61
648,1122,0.57058
648,1124,1.42645
648,1455,1
649,316,2.84
649,1489,1.25
649,502468,0.9
650,1489,1.25
651,352,0.61285
651,1124,1.53212
651,1455,1
652,316,1.3
652,1489,1.25
653,316,0.94
653,1122,0.57058
653,1124,1.42645
653,1455,1
654,316,1.54
654,1489,1.25
654,502468,0.9
655,316,1.08
655,1122,0.57058
655,1124,1.42645
655,1455,1
655,1496,0.75
656,316,10.76
656,1489,1.25
657,316,7.09
657,1122,0.6128
657,1124,1.532
657,1455,1
657,1496,0.75
658,316,9.64
658,1489,1.25
659,316,6.37
659,1122,0.57058
659,1124,1.42645
659,1455,1
659,1496,0.75
660,1489,1.25
661,352,0.61285
661,1124,1.53212
661,1455,1
662,316,6.34
662,1489,1.25
662,502468,0.9
663,316,3.82
663,1122,0.59172
663,1124,1.47929
663,1455,1
663,1496,0.75
664,316,3.03
664,1489,1.25
664,502468,0.9
665,316,2.21
665,1122,0.59172
665,1124,1.47929
665,1455,1
665,1496,0.75
666,155,0.44
666,1489,1.25
667,316,2.7
667,1489,1.25
667,502468,0.9
668,477,0.83
668,1489,1.25
669,316,13.19
669,1489,1.25
669,502468,0.9
670,316,7.74
670,1122,0.59172
670,1124,1.47929
670,1455,1
670,1496,0.75
671,316,7.66
671,1489,1.25
672,316,5.91
672,1122,0.59172
672,1124,1.47929
672,1455,1
672,1496,0.75
673,155,0.94
673,1489,1.25
674,316,3.45
674,1489,1.25
675,316,2.64
675,1489,1.25
676,316,4
676,1489,1.25
676,502468,0.9
677,316,3.52
677,1489,1.25
678,477,1.82
678,1489,1.25
679,150,1.07
679,1489,1.25
680,474,1.09
680,1489,1.25
680,502468,0.9
681,474,0.92
681,1489,1.25
682,477,0.56
682,1489,1.25
683,474,1.99
683,1489,1.25
683,502468,0.9
684,474,1.68
684,1489,1.25
685,477,1.01
685,1489,1.25
688,316,20.585
688,1489,1.25
689,316,15.0081
689,1122,0.57058
689,1124,1.42645
689,1455,1
690,316,18.6042
690,1489,1.25
691,316,13.67694
691,1122,0.57058
691,1124,1.42645
691,1455,1
692,316,1.98
692,1470,0.85
693,316,1.33
693,1461,0.55
694,1489,1.25
694,502468,0.9
695,352,0.61285
695,1124,1.53212
695,1455,1
695,1496,0.75
696,128,0.63
696,1489,1.25
697,128,0.45
697,348,0.61285
697,1124,1.53212
697,1455,1
698,134,0.27
698,1489,1.25
699,134,0.21
699,348,0.61285
699,1124,1.53212
699,1455,1
700,155,1
700,1489,1.25
700,502468,0.9
701,155,0.83
701,348,0.59172
701,1124,1.47929
701,1455,1
701,1496,0.75
702,172,1.8
702,1489,1.25
703,172,1.52
703,1122,0.5706
703,1124,1.4265
703,1455,1
704,316,12.5105
704,1489,1.25
705,316,9.3088
705,1122,0.57058
705,1124,1.42645
705,1455,1
706,316,8.0745
706,1489,1.25
707,316,5.6993
707,1122,0.57058
707,1124,1.42645
707,1455,1
708,316,11.3586
708,1489,1.25
709,316,8.4755
709,1122,0.57058
709,1124,1.42645
709,1455,1
710,316,7.2455
710,1489,1.25
